{ TIMESTAMP         }-> 20230911010141
{ VERSION           }-> prompt_okvqa
{ CKPTS_DIR         }-> outputs/ckpts/prompt_okvqa
{ LOG_PATH          }-> outputs/logs/prompt_okvqa/log_20230911010141.txt
{ RESULT_DIR        }-> outputs/results/prompt_okvqa
{ RESULT_PATH       }-> outputs/results/prompt_okvqa/result_20230911010141.json
{ RESUME            }-> True
{ TASK              }-> ok
{ RUN_MODE          }-> prompt
{ DATA_TAG          }-> ok
{ DATA_MODE         }-> finetune
{ EVAL_NOW          }-> True
{ NUM_WORKERS       }-> 8
{ PIN_MEM           }-> True
{ cfg_file          }-> configs/prompt.yml
{ DEBUG             }-> False
{ SEED              }-> 99
{ EXAMPLES_PATH     }-> /home/xl544/rds/hpc-work/Retrieval-Augmented-Visual-Question-Answering/prophet-main/data/few_shot_final_1.csv
{ OPENAI_KEY        }-> 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
{ MODEL             }-> gpt-3.5-turbo
{ TEMPERATURE       }-> 0.0
{ MAX_TOKENS        }-> 10
{ T_INFER           }-> 1

Overall Accuracy is: 61.70
Question Type                           	Prophet
Plants and Animals                      	63.28
Science and Technology                  	46.19
Sports and Recreation                   	64.51
Geography, History, Language and Culture	59.57
Brands, Companies and Products          	66.63
Vehicles and Transportation             	58.82
Cooking and Food                        	62.46
Weather and Climate                     	65.43
People and Everyday life                	59.63
Objects, Material and Clothing          	58.18


